country,target domain,CLS,LCP,FID,OSI,category
US,https://login.microsoftonline.com/56c2fd5c-4e8f-495b-8125-81afd26e798d/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=056DAA10F2C456CB3C6570C658166CF00258123455D06565%2D5DE971C14B68AECE4400A822276741CE498A4A910CA0D57DF857CCF6F8D257AA&redirect%5Furi=https%3A%2F%2Fflyspirit%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=51727ca1%2D20af%2D7000%2Ddc1a%2D2de511e06183&sso_reload=true,0.01819,1754.817,43,1269.80157,car rentals
US,https://www.hertz.co.uk/rentacar/reservation/,0.07657,3586.0495,409,3736.9765,car rentals
US,https://www.enterprise.co.uk/en/home.html,0.01209,2504.7008,393,4328.9726,car rentals
US,https://www.zipcar.com/en-gb,0.00221,4717.0986,1599,2933.02539,car rentals
US,https://www.alamo.co.uk/en/home.html,0.02371,1667.567,165,1959.81919,car rentals
US,https://www.carjet.com/cheap-car-rental/index.htm,0.00177,1354.0838,328,2994.61601,car rentals
US,https://www.economycarrentals.com/de-DE?c=DE,0.00001,793.81,195,1009.0032,car rentals
US,https://rentalcover.com/en/,0.0169,772.153,399,1514.03133,car rentals
US,https://www.enterprise.com/en/home.html,0.0188,1651.6616,287,3664.04492,car rentals
US,https://www.airporttaxis-uk.co.uk/,0.00665,2057.83605,85,1189.28131,car rentals
US,https://cars.booking.com/,,,,,car rentals
US,https://cars.easyjet.com/,0.00534,1327.4951,222,1294.71665,car rentals
US,https://avisworld.com/,0,1208.775,102,987.30163,car rentals
US,https://www.carflexi.com/de-DE?c=DE,0.00006,775.255,119,735.91781,car rentals
US,https://www.vwfsrentacar.co.uk/,0.00129,1249.7365,309,1467.97861,car rentals
US,https://www.stressfreecarrental.com/,0.00018,1480.4345,53,1188.0119,car rentals
US,https://www.hertz247.co.uk/UK/Home,0.3606,3523.759,320,3281.76674,car rentals
US,https://www.orbitcarhire.com/,0.0114,3469.4395,352,1499.07084,car rentals
US,https://www.vipcars.com/,0,1318.495,54,994.06145,car rentals
US,https://www.co-wheels.org.uk/,0.01038,2597.2616,153,1614.62545,car rentals
US,https://www.discovercars.com/,0.02205,3029.8373,195,2779.17297,car rentals
US,chrome-error://chromewebdata/,,,,,car rentals
US,https://corporate.cartrawler.com/en-gb/,0.0461,3278.58484,199,4224.68178,car rentals
US,https://autoreisen.com/car-hire/car-hire.php,0.26972,1595.0831,173,995.24733,car rentals
US,https://www.rentalcars.com/,,,,,car rentals
US,https://www.holidayautos.com/,0.22387,2221.487,212,1720.70929,car rentals
US,https://www.moneymaxim.co.uk/,0.00593,1124.131,153,2666.01651,car rentals
US,https://nationwidehireuk.co.uk/,0.02487,1840.9491,283,1468.78698,car rentals
US,https://www.hertz.com/rentacar/reservation/,0.08588,4673.7711,783,4982.25439,car rentals
US,https://www.icarhireinsurance.com/,0.05057,1358.7323,36,1564.07097,car rentals
US,https://www.autoeurope.com/,,,,,car rentals
US,https://www.arnoldclarkrental.com/,0.01389,1242.7405,36,1375.33988,car rentals
US,https://www.enjoytravel.com/us,0.00406,1189.11,67,1150.26639,car rentals
US,https://www.driiveme.co.uk/,0.00136,1452.247,96,1488.21574,car rentals
US,https://www.europcar.co.uk/en-gb,0.02973,3198.6395,499,2472.53365,car rentals
US,https://rentcars.com/,,,,,car rentals
US,https://govirtuo.com/,,,,,car rentals
US,https://www.cicar.com/,0.14111,3028.2077,93,1616.8412,car rentals
US,https://www.goldcar.com/es-es/,0.13511,1523.761,34,1710.66399,car rentals
US,https://okmobility.com/en/,0.09091,574.333,148,3908.68944,car rentals
US,https://questor-insurance.co.uk/,0,843.0235,129,840.00776,car rentals
US,https://www.enterprisecarclub.co.uk/gb/en/home.html,0.05924,2522.2458,145,2309.40441,car rentals
US,https://www.holidaycars.com/,0.00075,1085.95,143,1435.57808,car rentals
US,https://www.thrifty.co.uk/,0.13071,2201.065,86,1213.92329,car rentals
US,https://www.doyouspain.com/index.htm,0.17952,1255.5346,121,1214.24827,car rentals
US,https://indiecampers.com/,0.00204,953.363,124,1187.36645,car rentals
US,https://www.fusemetrix.com/,0.00027,3997.0925,85,1296.85647,car rentals
US,https://www.sennheiser-hearing.com/en-DE/,0.00865,5453.594,293,2061.11893,car rentals
US,https://www.qeeq.com/,0.00307,2786.9375,444,3980.50646,car rentals
US,https://www.suntransfers.com/,0.01171,2082.895,285,1348.98213,car rentals
US,https://www.sixt.com/,0,1123.881,158,1838.01106,car rentals
US,https://greenmotion.com/,0.27949,1901.482,74,1964.52235,car rentals
US,https://www.airporttaxis-uk.co.uk/,0.00723,1925.46625,93,1321.67975,car rentals
US,https://www.alamo.com/en/home.html,0.00823,1575.611,77,1948.82672,car rentals
US,https://turo.com/,0.00033,1026.9668,98,1078.46112,car rentals
US,https://www.avis.co.uk/,0.00463,1862.0865,194,1811.78016,car rentals
US,https://rentalcar.com/,0.39966,3274.448,195,2514.39613,car rentals
US,https://www.easycar.com/,0.00173,1908.39,376,2013.72309,car rentals
US,https://www.recordrentacar.com/en/,0.22263,1726.1317,210,1939.02771,car rentals
US,https://www.budget.co.uk/,0.02578,2409.56855,200,2734.04443,car rentals
US,https://www.transfeero.com/en/,0.0014,2205.1655,102,2379.85393,car rentals
US,https://starrluxurycars.com/,0.00094,4133.3295,72,1907.32971,car rentals
US,https://www.carrental8.com/en-us,0.08501,4258.8021,419,3993.35136,car rentals
US,https://www.sixt.co.uk/,0.00993,1711.7275,304,3277.04583,car rentals
US,https://www.practical.co.uk/,0.52358,3384.702,45,1679.18152,car rentals
US,https://liftshare.com/uk,0.03495,3116.9712,181,1388.20073,car rentals
US,https://www.budgetcampervans.com/,0.00146,2020.5188,39,1966.51212,car rentals
US,https://www.zestcarrental.com/,0.17297,1410.9478,133,931.7675,car rentals
